Product Code,Name,Description,Small Image,Large Image,Catalogue,Sale Price,Retail Price,Tax Code,SEO friendly URL,Grouping Product Codes,Grouping Product Descriptions,Supplier CRM ID,Supplier Commission Percentage,Weighting/Order,Related Products,Weight In KG/Pounds,Product Width (Previously Volume),Keywords,Unit Type,Min Units,Max Units,In Stock,On Order,Re-order Threshold,Inventory Control,Can Pre-Order,Custom 1,Custom 2,Custom 3,Custom 4,Poplets,Enabled,Capture Details,Limit Download Count,Limit Download IP,On Sale,Hide if Out of Stock,Attributes,Gift Voucher,Drop Shipping,Product Height,Product Depth,Exclude From Search Results,Product Title,Wholesale Sale Price,Tax Code,Cycle Type,Cycle Type Count,Product URL,Product Affiliate URL,Variations Enabled,Variations Code,Variation Options
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FDFLAG130101BHPKT,Buy Here Pay Here 13' Cone Head Flag Kit,"Feather Dancers act as a unique advertising solution, providing an effective way to communicate and capture customer's attention.",/Assets/img/products/feather/dancer/sm/FDFLAG101BHP_SM.png,/Assets/img/products/feather/dancer/lg/FDFLAG101BHP.png,/shop/flags/feather dancer/auto;,US/84.00;,,,,FDFLAG130101BHPKT;FDFLAG170101BHPKT;,;;,,,,,,,flag-layout,,,,,,,,,"{module_webapps,18620,i,4123282}",,,,/Assets/img/products/feather/dancer/poplets/auto/buyherepayhere_conehead_sun.jpg;/Assets/img/products/feather/dancer/poplets/auto/buyherepayhere_conehead 2.jpg;/Assets/img/products/feather/dancer/poplets/auto/buyherepayhere_conehead.jpg;,,,,,,,,,,,,,,,,,,,,,,
FDFLAG170101BHPKT,Buy Here Pay Here 17' Cone Head Flag Kit,"Feather Dancers act as a unique advertising solution, providing an effective way to communicate and capture customer's attention.",/Assets/img/products/feather/dancer/sm/FDFLAG101BHP_SM.png,/Assets/img/products/feather/dancer/lg/FDFLAG101BHP.png,/shop/flags/feather dancer/auto;,US/108.75;,,,,,,,,,,,,flag-layout,,,,,,,,,"{module_webapps,18620,i,4123738}",,,,/Assets/img/products/feather/dancer/poplets/auto/buyherepayhere_conehead_sun.jpg;/Assets/img/products/feather/dancer/poplets/auto/buyherepayhere_conehead 2.jpg;/Assets/img/products/feather/dancer/poplets/auto/buyherepayhere_conehead.jpg;,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FDFLAG130102BHPKT,Buy Here Pay Here 13' Smiley Flag Kit,"Feather Dancers act as a unique advertising solution, providing an effective way to communicate and capture customer's attention.",/Assets/img/products/feather/dancer/sm/FDFLAG102BHP_SM.png,/Assets/img/products/feather/dancer/lg/FDFLAG102BHP.png,/shop/flags/feather dancer/auto/;,US/84.00;,,,,FDFLAG130102BHPKT;FDFLAG170102BHPKT;,;;,,,,,,,flag-layout,,,,,,,,,"{module_webapps,18620,i,4123282}",,,,/Assets/img/products/feather/dancer/poplets/auto/buyherepayhere_smiley_sun.jpg;,,,,,,,,,,,,,,,,,,,,,,
FDFLAG170102BHPKT,Buy Here Pay Here 17' Smiley Flag Kit,"Feather Dancers act as a unique advertising solution, providing an effective way to communicate and capture customer's attention.",/Assets/img/products/feather/dancer/sm/FDFLAG102BHP_SM.png,/Assets/img/products/feather/dancer/lg/FDFLAG102BHP.png,/shop/flags/feather dancer/auto/;,US/108.75;,,,,,,,,,,,,flag-layout,,,,,,,,,"{module_webapps,18620,i,4123738}",,,,/Assets/img/products/feather/dancer/poplets/auto/buyherepayhere_smiley_sun.jpg;,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
